Date,P_I,EU_H,C_H,SO_I,CFNAI,CFNAI_MA3,DIFFUSION
2017:12,0.02,0.03,0.01,0.13,0.19,0.31,0.30
2018:01,-0.06,0.10,-0.09,-0.21,-0.26,0.05,0.06
2018:02,0.21,0.20,-0.03,0.12,0.50,0.14,0.13
2018:03,0.04,0.08,-0.02,-0.01,0.09,0.11,0.12
2018:04,0.34,0.06,-0.05,0.01,0.36,0.32,0.29
2018:05,-0.41,0.14,0.03,0.09,-0.15,0.10,0.16
2018:06,0.26,0.07,-0.07,-0.04,0.22,0.14,0.18
2018:07,-0.01,0.05,-0.02,-0.01,0.01,0.03,0.06
2018:08,0.18,0.04,-0.04,0.13,0.31,0.18,0.14
2018:09,-0.03,0.07,-0.08,0.02,-0.01,0.11,0.04
2018:10,-0.12,0.03,-0.01,-0.13,-0.24,0.02,-0.06
2018:11,-0.07,0.06,0.00,0.00,-0.01,-0.08,-0.22
2018:12,0.03,-0.01,-0.20,0.02,-0.16,-0.14,-0.20
2019:01,-0.31,0.06,-0.03,-0.03,-0.31,-0.16,-0.15
2019:02,-0.18,-0.09,-0.08,0.01,-0.34,-0.27,-0.23
2019:03,-0.08,0.05,0.02,-0.08,-0.09,-0.25,-0.22
2019:04,-0.31,0.04,-0.07,-0.20,-0.54,-0.32,-0.29
2019:05,0.00,-0.01,0.00,0.02,0.01,-0.21,-0.14
2019:06,0.04,0.07,-0.02,0.02,0.11,-0.14,-0.09
2019:07,-0.26,-0.05,0.00,-0.09,-0.40,-0.09,-0.05
2019:08,0.16,0.03,0.01,-0.01,0.20,-0.03,0.03
2019:09,-0.24,0.01,-0.06,-0.10,-0.38,-0.19,-0.14
2019:10,-0.39,-0.08,-0.04,-0.26,-0.76,-0.32,-0.27
2019:11,0.21,-0.02,0.03,-0.02,0.21,-0.31,-0.33
2019:12,-0.16,-0.08,0.00,-0.15,-0.39,-0.31,-0.36
2020:01,-0.15,0.03,-0.01,-0.08,-0.21,-0.13,-0.20
2020:02,0.04,0.01,-0.01,0.08,0.12,-0.16,-0.18
2020:03,-1.70,-1.12,-0.72,-0.85,-4.40,-1.50,-0.29
2020:04,-5.63,-8.79,-1.32,-2.36,-18.10,-7.46,-0.54
2020:05,1.02,1.85,1.04,0.79,4.70,-5.93,-0.39
2020:06,2.41,1.93,0.51,1.42,6.26,-2.38,0.17
2020:07,1.25,0.58,0.12,0.56,2.51,4.49,0.76
2020:08,0.40,0.74,0.00,0.10,1.25,3.34,0.76
2020:09,-0.04,0.38,0.12,0.06,0.52,1.43,0.63
2020:10,0.27,0.45,-0.02,0.17,0.87,0.88,0.57
2020:11,0.13,0.13,-0.04,0.06,0.28,0.56,0.46
2020:12,0.36,0.01,0.06,0.21,0.63,0.59,0.48
2021:01,0.31,0.11,0.17,0.31,0.90,0.60,0.47
2021:02,-1.30,0.15,-0.19,-0.37,-1.71,-0.06,0.27
